"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Lyon][exterieur][Température] °C"
"2018-05-13 14:00:00";;19,65;14,325
"2018-05-13 15:00:00";;19,575;14,05
"2018-05-13 16:00:00";;19,475;13,825
"2018-05-13 17:00:00";;19,375;13,55
"2018-05-13 18:00:00";;19,3;13,325
"2018-05-13 19:00:00";;19,2;13,2
"2018-05-13 20:00:00";;19,1;13,125
"2018-05-13 21:00:00";;19;13,075
"2018-05-13 22:00:00";;18,9;13,125
"2018-05-13 23:00:00";;18,825;13,1
"2018-05-14 00:00:00";;18,7;12,925
"2018-05-14 00:41:36";1
"2018-05-14 00:54:47";0
"2018-05-14 01:00:00";;18,825;12,8
"2018-05-14 02:00:00";;18,9;12,675
"2018-05-14 03:00:00";;18,9;12,6
"2018-05-14 04:00:00";;18,9;12,725
"2018-05-14 05:00:00";;18,9;12,775
"2018-05-14 06:00:00";;18,8;12,8
"2018-05-14 07:00:00";;18,8;12,775
"2018-05-14 08:00:00";;18,825;12,8
"2018-05-14 09:00:00";;18,55;12,925
"2018-05-14 09:30:58";1
"2018-05-14 10:00:00";;17,375;12,925
"2018-05-14 11:00:00";;17,625;13,05
"2018-05-14 11:09:46";0
"2018-05-14 12:00:00";;18,225;13,6
"2018-05-14 13:00:00";;18,4;13,925
"2018-05-14 14:00:00";;18,425;14,375
"2018-05-14 15:00:00";;18,5;14,6
"2018-05-14 16:00:00";;18,525;14,65
"2018-05-14 17:00:00";;18,6;14,65
"2018-05-14 18:00:00";;18,5;14,725
"2018-05-14 19:00:00";;18,5;14,675
"2018-05-14 20:00:00";;18,55;14,6
"2018-05-14 21:00:00";;18,6;14,525
"2018-05-14 22:00:00";;18,7;14,65
"2018-05-14 23:00:00";;18,7;14,7
"2018-05-15 00:00:00";;18,975;14,675
"2018-05-15 01:00:00";;19,1;14,7
"2018-05-15 02:00:00";;19;14,75
"2018-05-15 03:00:00";;18,95;14,7
"2018-05-15 04:00:00";;18,875;14,6
"2018-05-15 05:00:00";;18,8;14,525
"2018-05-15 06:00:00";;18,8;14,575
"2018-05-15 07:00:00";;18,825;14,625
"2018-05-15 08:00:00";;18,55;14,85
"2018-05-15 08:28:58";1
"2018-05-15 09:00:00";;17,625;15,025
"2018-05-15 10:00:00";;17,275;15,325
"2018-05-15 11:00:00";;17,2;15,45
"2018-05-15 12:00:00";;17,8;15,825
"2018-05-15 12:06:35";0
"2018-05-15 13:00:00";;18,15;17
"2018-05-15 14:00:00";;18,325;17,825
"2018-05-15 15:00:00";;18,425;18,2
"2018-05-15 16:00:00";;18,5;18,6
"2018-05-15 17:00:00";;18,575;18,725
"2018-05-15 18:00:00";;18,6;18,175
"2018-05-15 19:00:00";;18,65;17,5
"2018-05-15 20:00:00";;18,625;16,95
"2018-05-15 21:00:00";;18,6;16,6
"2018-05-15 22:00:00";;18,7;16,175
"2018-05-15 23:00:00";;18,7;16,15
"2018-05-16 00:00:00";;18,775;16,075
"2018-05-16 01:00:00";;18,8;16
"2018-05-16 02:00:00";;18,8;15,75
"2018-05-16 03:00:00";;18,8;15,575
"2018-05-16 04:00:00";;18,75;15,5
"2018-05-16 05:00:00";;18,7;15,4
"2018-05-16 06:00:00";;18,725;15,4
"2018-05-16 07:00:00";;18,8;15,425
"2018-05-16 08:00:00";;18,725;15,6
"2018-05-16 08:26:40";1
"2018-05-16 09:00:00";;18,25;15,95
"2018-05-16 10:00:00";;18,025;16,5
"2018-05-16 11:00:00";;18,15;17,35
"2018-05-16 11:26:53";0
"2018-05-16 12:00:00";;18,45;17,875
"2018-05-16 13:00:00";;18,625;18,725
"2018-05-16 14:00:00";;18,7;19,35
"2018-05-16 15:00:00";;18,725;19,225
"2018-05-16 16:00:00";;18,8;19,525
"2018-05-16 17:00:00";;18,8;19,1
"2018-05-16 18:00:00";;18,8;18,8
"2018-05-16 19:00:00";;18,8;18,375
"2018-05-16 20:00:00";;18,85;18
"2018-05-16 21:00:00";;18,9;17,6
"2018-05-16 22:00:00";;18,95;17,35
"2018-05-16 23:00:00";;19,075;16,875
"2018-05-17 00:00:00";;19,3;16,65
"2018-05-17 01:00:00";;19,3;16,55
"2018-05-17 02:00:00";;19,225;16,55
"2018-05-17 03:00:00";;19,2;16,2
"2018-05-17 04:00:00";;19,2;15,975
"2018-05-17 05:00:00";;19,1;15,7
"2018-05-17 06:00:00";;19,1;15,45
"2018-05-17 07:00:00";;19,15;15,575
"2018-05-17 08:00:00";;18,85;16,15
"2018-05-17 08:05:26";1
"2018-05-17 09:00:00";;18,45;16,775
