Temp_chambre;Temp_Lyon;Ouverture;Heure;Temp_1H
26,5;27,9;1;72000;0
26,5;27,45;1;75600;0
26,5;27,1;1;79200;0
26,5;26,825;1;82800;0,05
26,55;26,475;1;0;0,15
;;0;1249;0
;;1;1630;0
26,7;26,125;1;3600;-0,05
26,65;25,6;1;7200;0,05
26,7;25,425;1;10800;0
26,7;25,275;1;14400;0
26,7;25,1;1;18000;-0,05
26,65;24,85;1;21600;-0,125
26,525;24,6;1;25200;0,05
;;0;28277;0
26,575;24,625;0;28800;0,025
26,6;25,075;0;32400;0,025
26,625;25,9;0;36000;0
;;1;37812;0
26,625;27;1;39600;0
26,625;27,675;1;43200;0,125
26,75;28,3;1;46800;0,125
26,875;28,775;1;50400;0,15
27,025;29,175;1;54000;0,2
27,225;29,675;1;57600;0,1
27,325;29,775;1;61200;-0,05
27,275;29,025;1;64800;-0,175
27,1;26,225;1;68400;-0,25
26,85;24,225;1;72000;-0,05
26,8;24,425;1;75600;0
26,8;24,325;1;79200;-0,075
26,725;24,3;1;82800;-0,025
26,7;24,225;1;0;-0,1
26,6;24,05;1;3600;0,15
26,75;23,875;1;7200;0,15
26,9;23,8;1;10800;0
26,9;23,65;1;14400;-0,075
26,825;23,55;1;18000;-0,1
26,725;23,35;1;21600;-0,125
26,6;23,275;1;25200;-0,075
26,525;23,25;1;28800;-0,075
26,45;23,175;1;32400;-0,05
26,4;24,075;1;36000;0,05
26,45;25,225;1;39600;-0,05
26,4;26,125;1;43200;0,05
26,45;26,75;1;46800;0,225
26,675;27,45;1;50400;0,175
26,85;27,95;1;54000;0,1
26,95;27,95;1;57600;-0,575
26,375;25,775;1;61200;-0,475
25,9;24,05;1;64800;0,075
25,975;24,575;1;68400;0,175
26,15;24,85;1;72000;0,05
26,2;24,675;1;75600;-0,175
26,025;23,975;1;79200;-0,025
26;23,625;1;82800;0,125
26,125;23,55;1;0;0,35
;;0;1198;0
26,475;23,275;0;3600;0,025
26,5;23,075;0;7200;0
26,5;22,975;0;10800;0
26,5;22,8;0;14400;0
26,5;22,45;0;18000;-0,025
26,475;22,1;0;21600;-0,075
26,4;22,1;0;25200;-0,05
26,35;22,225;0;28800;0,025
26,375;22,85;0;32400;-0,55
25,825;23,675;0;36000;-0,55
;;1;36639;0
25,275;24,7;1;39600;0,275
25,55;25,55;1;43200;0,35
25,9;26,35;1;46800;0,25
