,dateTime,Ouverture,Chamb_Temp,Chamb_CO2,Lyon_Temp,Temp_1H
469,3600,0.0,23.1,853.5,-1.1000000000000014,0.0
470,7200,0.0,23.1,1080.25,-1.5,0.0
471,10800,0.0,23.1,977.0,-1.9500000000000028,-0.10000000000000142
472,14400,0.0,23.0,880.25,-2.1750000000000007,0.0
473,18000,0.0,23.0,824.5,-2.375,-0.05000000000000071
474,21600,0.0,22.95,802.5,-2.7749999999999986,-0.07499999999999929
475,25200,0.0,22.875,816.75,-3.0500000000000007,-0.07499999999999929
476,28800,0.0,22.8,827.0,-3.0,-0.5500000000000007
477,29012,1.0,22.8,827.0,-3.0,0.0
478,32400,1.0,22.25,461.0,-2.2749999999999986,-0.2749999999999986
479,36000,1.0,21.975,443.25,-1.4750000000000014,-0.15000000000000213
480,39600,1.0,21.825,433.25,-0.8999999999999986,0.07499999999999929
481,43124,0.0,21.825,433.25,-0.8999999999999986,0.0
482,43200,0.0,21.9,487.75,-0.5499999999999972,0.07500000000000284
483,46800,0.0,21.975,504.75,-0.3000000000000007,0.02499999999999858
484,50400,0.0,22.0,458.75,0.05000000000000071,0.0
485,52724,1.0,22.0,458.75,0.05000000000000071,0.0
486,54000,1.0,22.0,442.0,0.10000000000000142,0.10000000000000142
487,57600,1.0,22.1,461.5,0.22499999999999787,0.17499999999999716
488,61200,1.0,22.275,441.25,0.32500000000000284,0.125
489,64800,1.0,22.4,415.0,0.15000000000000213,-0.09999999999999787
490,68400,1.0,22.3,417.0,-0.05000000000000071,-0.07499999999999929
491,72000,1.0,22.225,426.0,-0.32500000000000284,-0.02500000000000213
492,75600,1.0,22.2,420.0,-0.6999999999999993,-0.02499999999999858
493,79200,1.0,22.175,422.75,-0.9250000000000007,-0.07499999999999929
494,82800,1.0,22.1,418.25,-1.0750000000000028,-0.10000000000000142
495,0,1.0,22.0,442.5,-1.2250000000000014,0.05000000000000071
496,3416,0.0,22.0,442.5,-1.2250000000000014,0.0
497,3600,0.0,22.05,573.75,-1.6000000000000014,0.22499999999999787
498,7200,0.0,22.275,827.5,-2.174999999999997,0.10000000000000142
499,10800,0.0,22.375,967.5,-2.5500000000000007,0.02499999999999858
500,14400,0.0,22.4,1074.75,-2.8249999999999993,0.0
501,18000,0.0,22.4,1103.25,-3.0,0.0
